p,sigma,d,Prediction_RMSE,Factorisation_RMSE,Time
16,200.0,10,0.858369262266,0.692989383674,382.91465246584266
16,100.0,10,0.855257212567,0.683496534521,444.13221103395335
16,10.0,10,0.859155097877,0.695481481181,654.2133363359608
8,200.0,10,0.856335726871,0.697858581595,191.78506852104329
8,100.0,10,0.856726100109,0.697775060453,181.49635379202664
8,10.0,10,0.866103886848,0.719926095998,478.9238325189799
4,200.0,10,0.868723327882,0.730484244763,121.98135404800996
4,100.0,10,0.870028359974,0.732091935664,129.43303727498278
4,10.0,10,0.868492348843,0.729907058359,348.62851824215613
64,200.0,5,0.835792663364,0.650698228502,1212.516548086889
64,100.0,5,0.832225864335,0.643603990177,1176.6522616930306
64,10.0,5,0.829167162052,0.639834722612,1351.7526221359149
16,200.0,5,0.85157779636,0.687122961626,492.8350241461303
16,100.0,5,0.847352832731,0.678909978206,480.061790216947
16,10.0,5,0.845647227127,0.676616448472,624.173258831026
8,200.0,5,0.869530401306,0.725357361466,314.73544643702917
8,100.0,5,0.857633509647,0.702217106688,339.99034555302933
8,10.0,5,0.85792648882,0.704398265284,493.70643112715334
4,200.0,5,0.869195519066,0.730833173084,118.84335418697447
4,100.0,5,0.869608009991,0.730955956952,147.44221059582196
4,10.0,5,0.881606088864,0.755431426495,346.4213182411622
32,200.0,25,0.856864460209,0.671455659676,4435.722299712012
32,100.0,25,0.859252488456,0.673332640746,4867.637779891957
32,10.0,25,0.858122753871,0.674855876095,10415.277303320123
32,200.0,20,0.856643236304,0.667849066559,4132.739054412814
32,100.0,20,0.857638695215,0.668242561076,4241.187294278061
32,10.0,20,0.856843841436,0.674405944365,8798.23507798207
32,200.0,15,0.859108605923,0.678843432373,576.2675332399085
32,100.0,15,0.857014126623,0.671028298365,616.7962050919887
32,10.0,15,0.853506993908,0.669740417215,870.1009029978886
32,200.0,10,0.852820120462,0.672114669562,565.1356545600574
32,100.0,10,0.849157145532,0.664204159961,511.354261695873
32,10.0,10,0.849928902811,0.666682788913,805.5192294151057
32,200.0,5,0.842407627739,0.665647537656,547.1409468939528
32,100.0,5,0.839004223017,0.659168872853,532.6325267120264
32,10.0,5,0.835738817574,0.655262593497,678.5770925860852
64,0.1,2,0.836156583093,0.673408921026,2135.3472739590798
64,1.0,2,0.832576972561,0.665364502928,817.6814849998336
64,5.0,2,0.832938378739,0.665364001395,875.051894312026
64,10.0,2,0.832793151327,0.66545050616,925.6114375439938
64,20.0,2,0.832815345574,0.66546956929,876.2926858027931
